"ID","Symbol","Entry_Date","Exit_Date","Quantity","Buy_Value","Sell_Value","Profit","Period_of_holding","Turnover"
15,ADANIPORTS,"2021-04-06 00:00:00.000","2021-04-07 00:00:00.000",5,4233,4145,-89,1,0
280,HINDALCO,"2021-04-07 00:00:00.000","2021-04-07 00:00:00.000",12,4278,4279,1,0,1
280,HINDALCO,"2021-04-07 00:00:00.000","2021-04-07 00:00:00.000",3,1070,1070,0,0,0
280,HINDALCO,"2021-04-07 00:00:00.000","2021-04-07 00:00:00.000",5,1783,1780,-3,0,3
280,HINDALCO,"2021-04-07 00:00:00.000","2021-04-07 00:00:00.000",6,2142,2136,-6,0,6
280,HINDALCO,"2021-04-07 00:00:00.000","2021-04-07 00:00:00.000",9,3213,3203,-10,0,10
280,HINDALCO,"2021-04-07 00:00:00.000","2021-04-07 00:00:00.000",15,5360,5340,-20,0,20
15,ADANIPORTS,"2021-04-07 00:00:00.000","2021-04-07 00:00:00.000",10,8380,8582,202,0,202
344,M&M,"2021-04-07 00:00:00.000","2021-04-07 00:00:00.000",5,3940,3950,10,0,10
317,JSWSTEEL,"2021-04-07 00:00:00.000","2021-04-07 00:00:00.000",10,5491,5516,25,0,25
317,JSWSTEEL,"2021-04-07 00:00:00.000","2021-04-07 00:00:00.000",20,11040,11031,-9,0,9
317,JSWSTEEL,"2021-04-07 00:00:00.000","2021-04-07 00:00:00.000",10,5556,5516,-41,0,41
317,JSWSTEEL,"2021-04-07 00:00:00.000","2021-04-07 00:00:00.000",1,553,552,0,0,0
317,JSWSTEEL,"2021-04-07 00:00:00.000","2021-04-07 00:00:00.000",10,5529,5524,-5,0,5
317,JSWSTEEL,"2021-04-07 00:00:00.000","2021-04-07 00:00:00.000",5,2764,2762,-2,0,2
317,JSWSTEEL,"2021-04-07 00:00:00.000","2021-04-07 00:00:00.000",4,2211,2210,-2,0,2
317,JSWSTEEL,"2021-04-07 00:00:00.000","2021-04-07 00:00:00.000",10,5548,5550,2,0,2
317,JSWSTEEL,"2021-04-07 00:00:00.000","2021-04-07 00:00:00.000",10,5553,5550,-3,0,3
317,JSWSTEEL,"2021-04-07 00:00:00.000","2021-04-07 00:00:00.000",1,558,555,-3,0,3
317,JSWSTEEL,"2021-04-07 00:00:00.000","2021-04-07 00:00:00.000",2,1115,1110,-5,0,5
317,JSWSTEEL,"2021-04-07 00:00:00.000","2021-04-07 00:00:00.000",47,26203,26085,-118,0,118
20,ASHOKLEY,"2021-04-08 00:00:00.000","2021-04-08 00:00:00.000",100,11880,12225,345,0,345
20,ASHOKLEY,"2021-04-08 00:00:00.000","2021-04-08 00:00:00.000",100,12040,12225,185,0,185
20,ASHOKLEY,"2021-04-08 00:00:00.000","2021-04-08 00:00:00.000",50,6025,6113,88,0,88
20,ASHOKLEY,"2021-04-08 00:00:00.000","2021-04-08 00:00:00.000",6,724,738,14,0,14
20,ASHOKLEY,"2021-04-08 00:00:00.000","2021-04-08 00:00:00.000",94,11346,11562,216,0,216
20,ASHOKLEY,"2021-04-08 00:00:00.000","2021-04-08 00:00:00.000",100,12070,12300,230,0,230
20,ASHOKLEY,"2021-04-08 00:00:00.000","2021-04-08 00:00:00.000",37,4466,4551,85,0,85
20,ASHOKLEY,"2021-04-08 00:00:00.000","2021-04-08 00:00:00.000",13,1569,1599,30,0,30
20,ASHOKLEY,"2021-04-08 00:00:00.000","2021-04-08 00:00:00.000",100,12350,12370,20,0,20
20,ASHOKLEY,"2021-04-08 00:00:00.000","2021-04-08 00:00:00.000",150,18525,18525,0,0,0
20,ASHOKLEY,"2021-04-08 00:00:00.000","2021-04-08 00:00:00.000",50,6150,6175,25,0,25
20,ASHOKLEY,"2021-04-08 00:00:00.000","2021-04-08 00:00:00.000",100,12320,12360,40,0,40
20,ASHOKLEY,"2021-04-08 00:00:00.000","2021-04-08 00:00:00.000",4,497,494,-3,0,3
20,ASHOKLEY,"2021-04-08 00:00:00.000","2021-04-08 00:00:00.000",10,1244,1236,-8,0,8
20,ASHOKLEY,"2021-04-08 00:00:00.000","2021-04-08 00:00:00.000",50,6218,6180,-38,0,38
20,ASHOKLEY,"2021-04-08 00:00:00.000","2021-04-08 00:00:00.000",8,995,989,-6,0,6
20,ASHOKLEY,"2021-04-08 00:00:00.000","2021-04-08 00:00:00.000",1,124,124,-1,0,1
20,ASHOKLEY,"2021-04-08 00:00:00.000","2021-04-08 00:00:00.000",27,3357,3337,-20,0,20
317,JSWSTEEL,"2021-04-08 00:00:00.000","2021-04-08 00:00:00.000",10,5770,5774,4,0,4
317,JSWSTEEL,"2021-04-08 00:00:00.000","2021-04-08 00:00:00.000",10,5773,5774,1,0,1
317,JSWSTEEL,"2021-04-08 00:00:00.000","2021-04-08 00:00:00.000",5,2886,2883,-3,0,3
317,JSWSTEEL,"2021-04-08 00:00:00.000","2021-04-08 00:00:00.000",5,2894,2883,-10,0,10
317,JSWSTEEL,"2021-04-08 00:00:00.000","2021-04-08 00:00:00.000",20,11588,11533,-55,0,55
317,JSWSTEEL,"2021-04-08 00:00:00.000","2021-04-08 00:00:00.000",25,15154,15375,221,0,221
317,JSWSTEEL,"2021-04-08 00:00:00.000","2021-04-08 00:00:00.000",10,6062,6165,104,0,104
317,JSWSTEEL,"2021-04-08 00:00:00.000","2021-04-08 00:00:00.000",15,9092,9480,388,0,388
317,JSWSTEEL,"2021-04-08 00:00:00.000","2021-04-08 00:00:00.000",15,9538,9480,-58,0,58
317,JSWSTEEL,"2021-04-08 00:00:00.000","2021-04-08 00:00:00.000",25,15896,15724,-173,0,173
317,JSWSTEEL,"2021-04-08 00:00:00.000","2021-04-08 00:00:00.000",10,6359,6267,-92,0,92
516,TATASTEEL,"2021-04-08 00:00:00.000","2021-04-08 00:00:00.000",1,902,907,5,0,5
516,TATASTEEL,"2021-04-08 00:00:00.000","2021-04-08 00:00:00.000",24,21648,21772,124,0,124
516,TATASTEEL,"2021-04-08 00:00:00.000","2021-04-08 00:00:00.000",10,9020,9120,100,0,100
516,TATASTEEL,"2021-04-08 00:00:00.000","2021-04-08 00:00:00.000",15,13530,13652,122,0,122
516,TATASTEEL,"2021-04-08 00:00:00.000","2021-04-08 00:00:00.000",15,13736,13805,70,0,70
516,TATASTEEL,"2021-04-08 00:00:00.000","2021-04-08 00:00:00.000",10,9157,9198,41,0,41
316,JINDALSTEL,"2021-04-08 00:00:00.000","2021-04-08 00:00:00.000",5,2020,2013,-7,0,7
316,JINDALSTEL,"2021-04-08 00:00:00.000","2021-04-08 00:00:00.000",20,8105,8050,-55,0,55
316,JINDALSTEL,"2021-04-08 00:00:00.000","2021-04-08 00:00:00.000",20,8120,8050,-70,0,70
525,TECHM,"2021-04-08 00:00:00.000","2021-04-08 00:00:00.000",5,5132,5158,27,0,27
511,TATAMOTORS,"2021-04-09 00:00:00.000","2021-04-09 00:00:00.000",50,16125,16100,-25,0,25
511,TATAMOTORS,"2021-04-09 00:00:00.000","2021-04-09 00:00:00.000",50,16123,16180,58,0,58
538,WIPRO,"2021-04-09 00:00:00.000","2021-04-09 00:00:00.000",10,4471,4469,-2,0,2
41,BANKBARODA,"2021-04-09 00:00:00.000","2021-04-09 00:00:00.000",100,7615,7700,85,0,85
41,BANKBARODA,"2021-04-09 00:00:00.000","2021-04-09 00:00:00.000",23,1760,1771,12,0,12
41,BANKBARODA,"2021-04-09 00:00:00.000","2021-04-09 00:00:00.000",77,5891,5929,39,0,39
41,BANKBARODA,"2021-04-09 00:00:00.000","2021-04-09 00:00:00.000",200,15300,15350,50,0,50
344,M&M,"2021-04-09 00:00:00.000","2021-04-09 00:00:00.000",50,39768,39725,-43,0,43
317,JSWSTEEL,"2021-04-09 00:00:00.000","2021-04-09 00:00:00.000",50,30168,30075,-93,0,93
317,JSWSTEEL,"2021-04-09 00:00:00.000","2021-04-09 00:00:00.000",14,8447,8400,-47,0,47
317,JSWSTEEL,"2021-04-09 00:00:00.000","2021-04-09 00:00:00.000",36,21721,21600,-121,0,121
317,JSWSTEEL,"2021-04-09 00:00:00.000","2021-04-09 00:00:00.000",10,6070,6060,-10,0,10
484,RELIANCE,"2021-04-12 00:00:00.000","2021-04-12 00:00:00.000",10,19460,19420,-40,0,40
484,RELIANCE,"2021-04-12 00:00:00.000","2021-04-12 00:00:00.000",8,15404,15422,18,0,18
248,BRITANNIA,"2021-04-12 00:00:00.000","2021-04-12 00:00:00.000",5,18981,19025,44,0,44
248,BRITANNIA,"2021-04-12 00:00:00.000","2021-04-12 00:00:00.000",3,11459,11415,-44,0,44
248,BRITANNIA,"2021-04-12 00:00:00.000","2021-04-12 00:00:00.000",12,45838,45660,-178,0,178
250,CIPLA,"2021-04-12 00:00:00.000","2021-04-12 00:00:00.000",10,9130,9225,95,0,95
250,CIPLA,"2021-04-12 00:00:00.000","2021-04-12 00:00:00.000",15,13737,13837,100,0,100
250,CIPLA,"2021-04-12 00:00:00.000","2021-04-12 00:00:00.000",5,4579,4610,31,0,31
250,CIPLA,"2021-04-12 00:00:00.000","2021-04-12 00:00:00.000",20,18430,18440,10,0,10
538,WIPRO,"2021-04-13 00:00:00.000","2021-04-13 00:00:00.000",25,10660,10640,-20,0,20
